UserID,Sex,PreviousDefault,FirstName,LastName,NumberPets,PreviousAccounts,ResidenceDuration,Street,LicensePlate,BadCredit,Amount,Married,Duration,City,Purpose,DateOfBirth
524-15-9384,F,0,Tracey,Wagner,0,2,3,7677 Christopher Burgs Apt. 404,7R JF978,1,3764,0,18,East Jill,NewCar,1976-08-31
648-55-2720,F,0,Kimberly,Sherman,2,1,3,361 Kenneth Bypass Suite 451,33-D959,1,4393,0,24,East Jill,Household,1986-09-25
729-42-4056,M,0,Robert,Hudson,2,0,4,825 Roberts Grove Apt. 260,232UE,0,3068,1,30,North Judithbury,Household,1974-01-16
890-94-1527,F,0,Katherine,Ray,1,0,1,667 Cynthia Trafficway Apt. 684,LOP 590,1,3799,1,18,North Judithbury,NewCar,1977-12-23
017-16-2589,F,0,Sarah,Flynn,0,1,4,63745 Morgan Ports Apt. 975,0Y017,0,3996,0,24,Port Jesseville,Other,1966-05-12
641-40-3837,F,0,Christina,Barker,2,3,3,424 Diamond Glen,206-LVU,0,3738,1,30,Lake Debra,NewCar,1971-05-03
393-12-1679,F,0,April,Woods,1,3,1,387 Alan Junctions,N71 3WE,0,3227,1,12,North Judithbury,UsedCar,1963-08-24
881-28-1421,F,0,Breanna,Ayala,1,1,2,218 Chelsey Expressway,32-L697,0,3507,0,36,North Judithbury,UsedCar,1960-04-30
803-31-8109,F,0,Leah,Cruz,2,1,0,2341 Angela Rapid Suite 043,TQG 640,0,4045,1,36,Lake Debra,NewCar,1966-03-30
070-02-4296,F,0,Margaret,Jones,1,0,4,5269 Diaz Springs,KYP 109,0,3508,0,6,North Judithbury,Household,1991-11-18
748-31-0949,F,0,Katie,Fuller,0,1,1,6188 Joshua Inlet Apt. 832,KMS-146,1,3754,1,24,East Jill,NewCar,1975-12-10
790-04-5489,F,0,Jody,Lynch,1,1,3,210 Jacqueline Estates Suite 588,5IF 241,0,3271,1,30,North Judithbury,NewCar,1977-02-19
234-95-8337,F,0,Amy,Joseph,0,1,1,7850 Villarreal Expressway,191 FIY,0,3755,0,30,New Roberttown,UsedCar,1972-06-05
690-07-2939,F,0,Amber,Cox,0,2,1,08635 Robert Stravenue,518 ICS,0,3875,1,30,North Noahstad,Other,1973-11-24
155-01-6719,M,0,Troy,Jones,2,0,4,4518 Smith Flats Suite 949,59O 7383,0,3126,1,30,East Jessetown,NewCar,1978-06-22
866-67-6768,F,0,Makayla,Steele,2,1,1,0641 Alyssa Freeway,02-4103P,0,3334,1,36,Robinsonshire,NewCar,1971-11-30
112-20-1732,F,0,Lauren,Wagner,2,1,2,99062 Kelly Vista Suite 655,13-IH29,0,2840,0,36,New Jessica,Vacation,1969-10-09
152-12-4067,F,0,Jennifer,Herrera,1,0,2,4741 Eric Spur,035 WWT,0,3569,1,30,North Judithbury,NewCar,1973-03-07
382-88-1377,F,0,Megan,Green,2,1,3,67883 Steven Unions,DAB3236,0,3011,1,30,North Judithbury,UsedCar,1970-08-30
282-36-7308,M,0,Alex,Brown,2,1,2,15107 Gary Ports Suite 670,5VN F32,0,2737,1,12,East Jill,Other,1964-04-20
515-42-6364,F,0,Maria,Porter,1,0,4,14626 Dawn Union Apt. 806,759-LPR,0,3014,0,12,East Jessetown,Other,1974-12-31
243-76-5211,M,0,Kyle,Johnson,2,1,2,78593 Craig Shoals Apt. 480,9-6522H,0,3075,1,36,North Judithbury,NewCar,1972-02-20
021-68-7832,F,0,Suzanne,Johnson,1,1,2,929 Mary Valleys Suite 842,BCB-393,0,3876,1,6,North Judithbury,Education,1975-06-04
310-42-2236,M,0,Robert,Peterson,1,0,1,0029 Kim Vista,LCL 6915,0,3469,1,24,North Judithbury,NewCar,1973-10-04
509-19-5426,F,0,Marie,Thompson,0,3,0,92644 Gregory Alley Suite 902,93K Z91,1,3648,0,30,Lake Debra,NewCar,1979-01-03
396-57-6876,F,0,Vickie,Jackson,0,0,4,570 Clark Square,100-LIZ,0,3214,0,24,Port Keith,NewCar,1977-10-11
561-12-5537,F,0,Heather,Bennett,2,1,2,327 Lauren Bypass Suite 054,CKF M21,0,3746,0,12,North Judithbury,Other,1977-09-08
056-47-0063,F,0,Jessica,Valdez,1,3,1,01533 Terry Stravenue Suite 443,BM-9872,0,3330,0,36,Cassandraton,Household,1975-05-02
379-24-7304,F,0,Karen,Davis,0,0,3,41714 Ruiz Shore,CU8 6256,1,3935,0,30,New Roberttown,NewCar,1979-07-08
488-39-1294,F,0,Deborah,Hood,0,2,2,11586 Angela Ville,793-QNR,0,3652,1,30,Robinsonshire,Household,1967-04-06
328-94-1098,M,0,Jonathan,Lester,0,2,3,72233 Brad Common,3N294,0,3908,0,24,Lake Debra,Vacation,1965-08-10
586-78-7751,F,0,Kristen,Gates,0,2,4,99861 Hernandez Port Apt. 191,467RLN,1,3590,0,24,Robinsonshire,NewCar,1984-07-03
762-57-5258,M,0,Charles,Franklin,2,0,1,65307 Prince Brooks Suite 444,WVD-324,0,3205,1,24,North Judithbury,UsedCar,1975-12-30
198-26-0945,F,0,Maria,Lopez,0,1,7,7850 Cameron Station,902-MEYQ,1,4616,1,30,North Judithbury,NewCar,1980-12-14
396-07-2670,F,0,Tamara,Bush,2,1,2,7861 John Overpass Suite 279,LLF-4140,0,3071,0,24,Lake Debra,NewCar,1984-03-28
471-33-3576,F,0,Maria,Byrd,1,0,2,680 Thomas Curve Apt. 903,TZ 44665,0,3790,0,36,North Judithbury,NewCar,1968-06-01
672-92-4896,F,0,Samantha,Sanders,2,0,1,85899 Evans Coves,544-CKI,0,2291,1,30,North Judithbury,UsedCar,1976-10-28
654-61-5874,M,1,Steven,Trujillo,0,1,1,520 Bright Green Suite 660,3WS 538,0,3130,0,12,Lake Roberto,Business,1976-07-02
267-75-4818,F,0,Catherine,Davis,1,2,1,482 Pena Forges,465 HX5,0,3580,1,30,East Jessetown,NewCar,1976-05-29
147-41-2955,F,0,Amy,Walters,1,0,2,3816 Gutierrez Ways,EGK 697,0,2762,1,30,Herrerafurt,Other,1971-01-30
489-50-0077,F,0,Lynn,Thompson,2,0,4,74329 Tracy Track,296666,0,3439,1,36,North Judithbury,Household,1975-07-03
467-94-8525,F,0,Tiffany,Mcclain,1,2,4,03354 Curtis Parkway,0JF C44,0,3003,1,24,North Judithbury,NewCar,1969-09-10
790-69-0797,F,0,Stacy,Cowan,2,1,3,5326 Jeremy Stream Apt. 309,064-FDLW,0,3663,0,6,New Roberttown,Education,1961-09-08
638-78-2248,F,0,Martha,Smith,1,4,1,7618 Wells Drives,0W 46184,0,3545,0,24,North Judithbury,NewCar,1980-04-24
339-31-0045,F,0,Michelle,Wilson,2,1,3,73934 Michael Lodge,FBR 737,0,3654,1,24,Ericmouth,UsedCar,1964-06-13
821-87-5124,F,0,Sara,Caldwell,0,2,0,81143 Hinton Hill,OB1 2045,0,3166,1,12,East Jill,NewCar,1969-04-30
279-50-7836,F,0,Sarah,Zamora,2,5,2,25579 Johns Course,667 KFD,0,3922,1,36,North Judithbury,NewCar,1965-02-15
422-57-0754,F,0,Ashley,Horton,2,1,4,16979 White Light,277 TA1,0,3085,0,24,North Judithbury,Repair,1966-07-23
012-83-2572,F,0,Alexandria,Oneill,0,1,2,588 Ryan Stream,56P 2890,1,4349,0,36,North Judithbury,UsedCar,1979-07-01
324-16-8149,F,0,Sheila,Jones,2,0,1,3540 Andrea Lane Suite 317,97-Z177,0,3286,1,18,Lisatown,NewCar,1981-01-02
786-80-9830,F,0,Jennifer,Johnson,2,2,3,99488 Diamond Motorway,7LBH 58,0,3172,0,30,Lisatown,UsedCar,1969-06-06
626-26-3073,M,0,Mike,Wilson,1,0,1,55488 Park Cape,ZPE 614,1,4073,0,12,North Judithbury,NewCar,1980-09-05
709-75-2846,F,0,Joyce,Harrington,2,3,0,60917 Barrett Parkways Apt. 708,BRN-9782,0,3950,0,36,North Noahstad,NewCar,1966-12-23
206-27-4761,F,0,Jasmine,Burke,1,0,1,669 Joshua Junctions Suite 722,8-48583T,0,3606,1,18,Cassandraton,NewCar,1973-11-19
828-02-8565,F,0,Vicki,Santos,0,0,3,851 Hart Prairie,684 6VW,1,3960,1,36,Lake Roberto,Other,1971-08-26
244-66-4713,F,0,Amy,Brown,1,1,0,44204 Karen Bypass Suite 719,838X6,0,4127,1,36,Herrerafurt,Other,1979-11-24
182-88-1221,M,0,James,Frye,1,0,1,004 Christine Tunnel Suite 359,347 XTG,0,3669,1,18,New Roberttown,Household,1977-10-27
367-10-5208,F,0,Barbara,Williams,0,0,0,422 Smith Mountain Apt. 025,94B 798,0,2801,1,36,North Judithbury,Other,1965-07-17
685-45-7302,M,0,Barry,Wagner,1,0,1,861 Walker Forest Suite 554,8Y T7801,0,4240,1,36,North Noahstad,NewCar,1977-12-07
085-13-2743,F,0,Tina,Fleming,0,0,0,1648 Johnson Path Suite 887,BJU-358,0,4002,0,36,Lisatown,UsedCar,1978-01-25
090-10-0890,F,0,Lori,Clark,2,1,0,613 Lucas Cliffs,750-VEA,0,3309,1,36,New Roberttown,Vacation,1963-10-21
515-14-4749,M,0,Benjamin,Underwood,2,0,3,6766 Smith Spring Apt. 809,015-YXS,0,3911,1,6,North Judithbury,UsedCar,1983-02-05
611-51-8801,F,0,Angelica,Hubbard,1,0,1,6072 Derek Lock Suite 245,21RR009,1,4199,0,24,North Judithbury,NewCar,1974-08-03
688-09-4108,F,0,Nicole,Berger,2,1,4,68222 Christina Glen Apt. 129,814YRO,0,3580,1,30,Cassandraton,NewCar,1969-08-19
580-73-5972,F,0,Katelyn,Rivera,0,0,2,314 Rachel Island,OKT-492,0,2985,1,36,North Noahstad,UsedCar,1976-02-21
112-23-9939,F,0,Abigail,Sanchez,2,0,2,645 Erin Isle,478-OOL,0,3597,1,12,New Roberttown,Other,1969-08-06
557-70-7735,F,0,Stephanie,Gonzalez,0,0,2,108 Lisa Prairie,YS8 G4B,1,3864,1,30,Cassandraton,Other,1976-10-23
368-06-3586,M,0,James,Vance,2,0,0,78816 Shaw Shore Apt. 928,OFF9927,0,3106,1,30,New Roberttown,UsedCar,1972-01-16
593-70-9342,F,0,Deborah,Young,1,1,3,567 Keith Canyon,KDW 844,0,3644,0,30,Lake Chad,Household,1969-10-17
143-57-2714,F,0,Holly,Valdez,2,1,0,463 Gomez Ways,7PZ 908,0,3497,1,12,East Jill,NewCar,1973-11-29
131-74-9706,F,0,Christine,Lopez,2,1,1,136 Cortez Orchard Suite 739,HUN 030,0,3314,0,36,New Jessica,Other,1969-10-07
483-62-2795,F,0,Amanda,Armstrong,2,1,1,42869 Natalie Stream,37JC9,0,3331,0,24,North Judithbury,NewCar,1971-11-22
017-26-8565,F,0,Brenda,Aguilar,0,2,1,842 Nielsen Ranch,6CH M21,0,3644,1,6,East Jill,UsedCar,1975-04-02
380-06-8681,M,0,Ronald,Jacobs,0,0,1,9908 Christopher Shoals,068 6TR,0,3837,0,36,Lake Debra,Vacation,1975-05-03
536-16-8516,M,0,Gregory,Ballard,1,1,1,2473 Justin Wells,009 NIG,0,3539,1,36,Cassandraton,Household,1978-06-09
496-33-5025,M,0,Michael,Stewart,0,1,4,26944 Cunningham Ridge Suite 636,ZRP-2588,0,3675,0,30,Jacquelineland,NewCar,1975-08-26
